Churn,Avg Tenure (months),Avg Monthly Charge ($),Avg Total Charge ($),Avg Monthly Charge (adj),Senior Citizen Rate
No,37.57,61.27,2549.91,61.27,0.13
Yes,17.98,74.44,1531.8,74.43,0.25
